Target,MAE,RMSE,R2
d18O_measurement,0.08695285088726111,0.13492078109158273,0.9816363080360617
d13C_measurement,0.18828860117102847,0.31016943252460166,0.9061002562177254
Mg_Ca_measurement,0.11335009393181691,0.2522831300326674,0.9356219813992495
Sr_Ca_measurement,0.06710444362138,0.2521591217797248,0.929528082672726
