Target,MAE,RMSE,R2
d18O_measurement,0.09387607553286205,0.1406530561948965,0.9800427520932777
d13C_measurement,0.18548621724133227,0.31189059578221895,0.9050552454184546
Mg_Ca_measurement,0.11644618642475163,0.20937775628516755,0.9522754949361057
Sr_Ca_measurement,0.03881557305694617,0.0757784398879081,0.9813037035162933
