d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement
0.15665301818972177,-0.2672302031883125,-0.04633531530382795,-0.04481426965639412
-0.017500535515357463,-0.08125431846955025,-0.023693380172120193,-0.04009224798380229
0.03273469253479855,0.13441910855547873,0.018069171135737916,-0.08165007677392028
0.18692020772705342,0.16960533381211756,-0.011212124135345114,-0.0740929805361567
-0.01355893132794328,-0.12726267471149816,-0.024520132495282176,-0.04082692741380406
0.07055789465259865,0.20191499983919603,-0.028940277028035144,-0.04548075004710628
0.030473082749778224,0.2051137475897999,-0.017965718522354734,-0.06978299499837737
0.03324390471335725,0.1304784124526845,0.002856945868592309,-0.04965015455378963
0.004037272210728249,0.025850019411789826,-0.025687868478679654,0.011892706277318643
0.007377673202630275,0.006657532908168909,-0.024557931690127877,-0.04718366845899763
0.03408272679358393,0.04853020937010395,-0.0231697583708399,-0.04718366845899763
0.030447636653971877,0.13922586719353702,0.0017695083295419245,-0.0360867073518491
-0.05689781138624328,-0.10614334824310628,-0.025447775092932723,-0.01795004509113185
-0.051393043576106745,-0.21809951951422765,-0.029356453223968515,-0.04548075004710628
-0.05797463268269598,-0.15237506035063147,-0.032192276030670985,-0.027801996044501065
0.0590134444848589,-0.13851595017011162,-0.03521796323014481,-0.030637085976458478
-0.09733361292690135,-0.2120871484339917,-0.0349700628427112,-0.04548075004710628
-0.26455861321224217,-0.1443602733407105,-0.045199478629884604,-0.0673961362626217
-0.08172012738676604,-0.10264672770935841,-0.0016760535535169652,-0.03519599819605551
0.22261185065364164,-0.02618740749832925,-0.021315276916674453,-0.007383031028534381
0.14917740446878214,0.011890050743153302,-0.029223430735871858,-0.02762962297617605
0.0296530026655889,-0.0921381331380233,-0.02796825177417883,0.01614495318827941
0.004336079754838962,-0.000993162008808085,-0.019285052157871796,-0.035282419203673865
0.04224065380297093,0.026826798056129253,-0.041181474810545904,-0.018757086166514725
-0.007400475594614542,0.10039799632000934,-0.03111188182380653,-0.0365810398959531
0.032684336308205886,0.18036669008509604,-0.0430747482062801,0.014434179433657157
0.039124341203027435,0.04664926757792345,-0.09114657524033554,-0.1392506123214081
0.043146925160656324,0.08732999137518815,-0.036779294478332725,0.027170670902809807
-0.005819050835344841,0.16729868514027485,-0.03681049740831588,0.01991911820701911
-0.08264827364908389,0.03615002736553258,-0.034838510240275955,0.04163935435757524
-0.022977340940822044,0.11163900143546848,-0.03783009632858003,0.0031503189520472874
0.029667674041266023,0.19800519070176292,-0.08499892227644823,-0.1663811112065686
0.10781484696912247,0.1020427581836586,-0.04175056204282224,0.02759595670928977
-0.09594961353688225,-0.09308085460315392,-0.04024087112570207,0.01001227452260793
-0.18948084131013054,-0.05149713384530878,-0.040990399399018385,-0.004007436162904859
0.13505329495828988,-0.07660943593573424,-0.04465557316701041,0.08420977877232835
0.02164609088402747,-0.20595954433522407,-0.042781972855206796,-0.0059802350815465755
-0.12453276879976727,-0.09080462531349881,-0.04367725762142749,-0.006835683568584272
-0.05026692060536275,-0.08940442693814826,-0.04335939502742847,0.026654725916549576
0.02597835065439069,0.07083323620883726,-0.035425119392040294,0.06253292651090292
0.05604195958150693,0.013255776697975077,-0.038331862028044394,0.01821850806618966
-0.06220775077070373,0.06716753374849516,-0.03581844490194719,-0.00040447057217349314
